64, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
65, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
66, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
67, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
68, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
69, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
70, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
71, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
72, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
73, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
74, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
75, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
76, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
77, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
78, 0, 0.16367676651039845, [0.749956584943648, 0.13306081218079324, 1]
79, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
80, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
81, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
82, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
83, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
84, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
85, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
86, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
87, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
88, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
89, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
90, 0, 0.08842848934366145, [0.7107837148968719, 0.13306081218079324, 1]
91, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
92, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
93, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
94, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
95, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
96, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
97, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
98, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
99, 0, 0.15094404576791243, [0.7107837148968719, 0.13306081218079324, 0]
